Date,Title,Playcount
2018-06-08,The Journey,115757
2018-06-08,South of the River,91650
2018-06-08,Crazy Dream,83804
2018-06-08,Sunshine,81392
2018-06-08,Beautiful Escape,90612
2018-06-12,The Journey,115757
2018-06-12,South of the River,91650
2018-06-12,Crazy Dream,83804
2018-06-12,Sunshine,81392
2018-06-12,Beautiful Escape,90612
2018-06-14,The Journey,116147
2018-06-14,South of the River,92778
2018-06-14,Crazy Dream,84226
2018-06-14,Sunshine,81541
2018-06-14,Beautiful Escape,91272
2018-06-16,The Journey,116369
2018-06-16,South of the River,93520
2018-06-16,Crazy Dream,84530
2018-06-16,Sunshine,81650
2018-06-16,Beautiful Escape,91658
